url,headline
https://www.foxnews.com/entertainment/happy-days-star-scott-baio-says-he-almost-fired-from-iconic-series-after-getting-big-head,'Happy Days' star Scott Baio says he was almost fired from iconic series after 'getting a big head'
https://www.foxnews.com/entertainment/landman-star-ali-larter-shows-off-her-toned-abs-daring-bralette-cargo-pants-look,‘Landman’ star Ali Larter shows off her toned abs in daring bralette and cargo pants look
https://www.foxnews.com/entertainment/peter-hook-slams-door-new-order-reunion-feud-rages,Peter Hook slams the door on New Order reunion as feud rages on
https://www.foxnews.com/entertainment/prince-louis-8th-birthday-portrait-shows-relatable-family-vacation-moment-expert,Prince Louis' 8th birthday portrait shows 'relatable' family vacation moment: expert
https://www.foxnews.com/entertainment/rita-wilson-learned-fathers-tragic-past-secret-family-bulgaria-tv-show,"Rita Wilson learned about father’s tragic past, secret family in Bulgaria on TV show"
https://www.foxnews.com/sports/fernando-mendoza-1-pick-nfl-draft-raiders-tasked-returning-legacy-franchise-glory,"Fernando Mendoza, the No 1 pick of NFL Draft to the Raiders, tasked with returning a legacy franchise to glory"
https://www.foxnews.com/sports/patriots-mike-vrabel-speaks-kissing-photos-nfl-reporter-dianna-russini-leak,Patriots' Mike Vrabel speaks out after kissing photos with NFL reporter Dianna Russini leak
https://www.foxnews.com/outkick-sports/sherrone-moore-accuser-paige-shiver-speaks-new-interview-complete-control,Sherrone Moore accuser Paige Shiver speaks out in new interview: he 'Had complete control over me'
https://www.foxnews.com/sports/chiefs-assistant-coach-charged-misdemeanor-domestic-battery-daughter-nfl-draft,Chiefs assistant coach charged with misdemeanor domestic battery against daughter just before NFL Draft
https://www.foxnews.com/sports/yankees-owner-hal-steinbrenner-considering-factors-debuting-new-alternate-uniforms-report,Report: Yankees owner Hal Steinbrenner considering factors before debuting new alternate uniforms
https://www.foxnews.com/sports/mauricio-pochettino-confirms-desire-to-return-to-tottenham-as-usmnt-boss-makes-feels-like-home-admission,USA Manager Mauricio Pochettino Admits Tottenham 'Feels Like Home'
https://www.foxnews.com/sports/spains-lamine-yamal-miss-rest-barcelona-season-ready-world-cup,"Spain's Lamine Yamal To Miss Rest of Barca Season, Will Be Ready for World Cup"
https://www.foxnews.com/sports/lamine-yamal-injured-while-converting-a-penalty-in-barcelonas-game-against-celta-vigo,Barcelona's Lamine Yamal Forced Off Due To Injury Moments After Scoring
https://www.foxnews.com/sports/chelsea-sacks-manager-liam-rosenior-after-less-than-4-months,Chelsea Sacks Manager Liam Rosenior After Less Than 4 Months
